noaa_station_id,station_name,state,country,source_api,ingest_enabled,priority_rank,latitude,longitude,nws_station_id,nws_station_url,open_meteo_query_latitude,open_meteo_query_longitude
GHCND:USW00013876,BIRMINGHAM AIRPORT,AL,US,NOAA,TRUE,1,33.56545,-86.7449,KBHM,https://api.weather.gov/stations/KBHM,33.56545,-86.7449
GHCND:USW00023183,PHOENIX AIRPORT,AZ,US,NOAA,TRUE,2,33.4278,-112.00365,KPHX,https://api.weather.gov/stations/KPHX,33.4278,-112.00365
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD,AR,US,NOAA,TRUE,3,34.72727,-92.2358,KLIT,https://api.weather.gov/stations/KLIT,34.72727,-92.2358
GHCND:USW00023232,SACRAMENTO AIRPORT ASOS,CA,US,NOAA,TRUE,4,38.50659,-121.49604,KSAC,https://api.weather.gov/stations/KSAC,38.50659,-121.49604
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT,CT,US,NOAA,TRUE,5,41.93742,-72.68202,KBDL,https://api.weather.gov/stations/KBDL,41.93742,-72.68202
GHCND:USW00013781,WILMINGTON AIRPORT,DE,US,NOAA,TRUE,6,39.67444,-75.60566,KILG,https://api.weather.gov/stations/KILG,39.67444,-75.60566
GHCND:USW00012888,MIAMI KENDALL TAMIAMI EXEC AIRPORT,FL,US,NOAA,TRUE,7,25.64226,-80.43467,KTMB,https://api.weather.gov/stations/KTMB,25.64226,-80.43467
GHCND:USW00013874,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT,GA,US,NOAA,TRUE,8,33.62972,-84.44224,KATL,https://api.weather.gov/stations/KATL,33.62972,-84.44224
GHCND:USW00024131,BOISE AIR TERMINAL,ID,US,NOAA,TRUE,9,43.56705,-116.24062,KBOI,https://api.weather.gov/stations/KBOI,43.56705,-116.24062
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT,IL,US,NOAA,TRUE,10,41.96017,-87.93164,KORD,https://api.weather.gov/stations/KORD,41.96017,-87.93164
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT,IN,US,NOAA,TRUE,11,39.72515,-86.2816,KIND,https://api.weather.gov/stations/KIND,39.72515,-86.2816
GHCND:USW00014933,DES MOINES INTERNATIONAL AIRPORT,IA,US,NOAA,TRUE,12,41.53395,-93.65313,KDSM,https://api.weather.gov/stations/KDSM,41.53395,-93.65313
GHCND:USW00003928,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT,KS,US,NOAA,TRUE,13,37.64753,-97.42999,KICT,https://api.weather.gov/stations/KICT,37.64753,-97.42999
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT,KY,US,NOAA,TRUE,14,38.17738,-85.73077,KSDF,https://api.weather.gov/stations/KSDF,38.17738,-85.73077
GHCND:USW00012916,NEW ORLEANS AIRPORT,LA,US,NOAA,TRUE,15,29.99755,-90.27772,KMSY,https://api.weather.gov/stations/KMSY,29.99755,-90.27772
GHCND:USW00014764,PORTLAND JETPORT,ME,US,NOAA,TRUE,16,43.64244,-70.30443,KPWM,https://api.weather.gov/stations/KPWM,43.64244,-70.30443
